City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Lamar,US,73.36,clear sky,33.6668,-95.5836,Kings Inn Paris TX
448,Ghanzi,BW,69.93,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
451,Hwange,ZW,71.15,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
452,Dubbo,AU,60.93,light rain,-32.25,148.6167,Quality Inn Dubbo International
454,Miandrivazo,MG,74.39,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
456,Hualmay,PE,61.32,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
457,Saint-Leu,RE,71.31,broken clouds,-21.15,55.2833,La Caz Oceane
458,Coxim,BR,72.9,overcast clouds,-18.5067,-54.76,Rancho Da Curica
459,Cuamba,MZ,67.1,clear sky,-14.8031,36.5372,Hotel Vision
460,Schaffhausen,CH,60.51,overcast clouds,47.6973,8.6349,Hohberg Restaurant & Hotel
466,Yuanping,CN,63.72,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
467,Bend,US,67.86,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
481,Sassandra,CI,74.03,light rain,4.95,-6.0833,la terrasse
483,Kitgum,UG,65.44,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
488,Saint-Joseph,RE,70.18,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
496,Huarmey,PE,61.54,broken clouds,-10.0681,-78.1522,Hotel Miramar
499,Ponta Delgada,PT,72.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
501,Katsuura,JP,69.08,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
504,Nantucket,US,64.51,clear sky,41.2835,-70.0995,Jared Coffin House
506,Yola,NG,71.46,overcast clouds,9.2,12.4833,Muna Hotel
507,Kijang,KR,71.33,overcast clouds,35.2442,129.2139,Samyang Beach Villa
511,Saint-Pierre,RE,71.91,few clouds,-21.3393,55.4781,Alize Plage
513,Surt,LY,72.21,few clouds,31.2089,16.5887,فندق المدينة
519,Sechura,PE,63.61,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
521,Feira De Santana,BR,70.12,clear sky,-12.2667,-38.9667,Hotel Paraiso
523,Xuddur,SO,69.42,overcast clouds,4.1213,43.8894,Banjanay Hotel
526,Conceicao Do Almeida,BR,68.95,few clouds,-12.7794,-39.17,Pousada Caldas e Andrada
527,Porto Santo,PT,70.18,broken clouds,33.072,-16.3415,Hotel Porto Santo & Spa
531,College Place,US,70.56,clear sky,46.0493,-118.3883,"Holiday Inn Express Walla Walla, an IHG Hotel"
532,Planaltina,BR,66.99,overcast clouds,-15.4528,-47.6142,Afrodite Motel Planaltina GO
535,Guarapari,BR,73.24,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
542,Mao,ES,68.56,scattered clouds,39.8885,4.2658,ARTIEM Capri
545,Winslow,US,64.58,few clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
548,Yarmouth,US,63.07,clear sky,41.7057,-70.2286,Blue Rock Resort
554,Rome,US,66.9,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
556,Barcelona,ES,67.32,scattered clouds,41.3888,2.159,Axel Hotel Barcelona
558,Kuruman,ZA,64.04,clear sky,-27.4524,23.4325,A HOTEL KURUMAN
559,Ulundi,ZA,60.15,broken clouds,-28.3352,31.4162,Ekhethelo Lodge Ulundi
561,Zhuanghe,CN,63.64,clear sky,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
562,Capelinha,BR,66.27,broken clouds,-17.6914,-42.5158,Marinho Plaza Hotel
564,Paita,PE,63.23,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
568,Mandera,KE,74.97,scattered clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
571,Buenos Aires,AR,70.99,light rain,-34.6132,-58.3772,Hotel NH Buenos Aires City
575,Gat,IL,69.4,clear sky,31.61,34.7642,OlusHome
582,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
585,Zaragoza,ES,65.01,scattered clouds,41.6561,-0.8773,Hotel Goya
588,Maryville,US,63.27,broken clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
593,Vazante,BR,64.6,overcast clouds,-17.9869,-46.9078,Hotel Pousada e Restaurante
599,Tateyama,JP,73.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
603,Erzin,TR,67.21,scattered clouds,36.9559,36.2,Artemis Otel
605,Hongjiang,CN,60.13,overcast clouds,27.11,109.9956,洪江大酒店
610,Muroto,JP,70.23,overcast clouds,33.2833,134.15,Oota Ryokan
614,Setubal,PT,62.1,clear sky,38.5244,-8.8882,Luna Esperanca Centro Hotel
617,Vangaindrano,MG,64.45,clear sky,-23.35,47.6,Hotel Fanilo
620,Tabas,IR,61.02,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
623,Mayo,US,64.35,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
632,Inirida,CO,74.7,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
635,Campina Verde,BR,67.59,overcast clouds,-19.5356,-49.4864,Hotel Lino
636,Sembabule,UG,62.38,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
640,Sumbe,AO,72.66,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
642,Telde,ES,71.82,few clouds,27.9924,-15.4192,Hotel Rural Cortijo San Ignacio Golf
643,Jalu,LY,65.37,clear sky,29.0331,21.5482,صاحبة الفخامة
644,Pimentel,PE,62.1,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
649,Bastia,FR,63.3,clear sky,42.6667,9.3333,Hotel Santa Maria
