City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Sidrolandia,BR,2022-10-05 22:02:18,-20.9319,-54.9614,82.35,50,15,4.36
94,Kodiak,US,2022-10-05 22:06:08,57.79,-152.4072,54.91,88,100,12.66
95,Provideniya,RU,2022-10-05 22:04:49,64.3833,-173.3,39.36,100,100,27.0
96,Tiksi,RU,2022-10-05 22:06:08,71.6872,128.8694,22.32,81,97,18.23
97,Port Elizabeth,ZA,2022-10-05 22:06:04,-33.918,25.5701,60.31,87,97,8.01
98,Mangit,UZ,2022-10-05 22:06:09,40.5971,70.9607,60.85,22,99,1.95
99,Hermanus,ZA,2022-10-05 22:06:09,-34.4187,19.2345,49.8,83,0,13.89
100,Yelan-Kolenovskiy,RU,2022-10-05 22:06:10,51.1632,41.151,44.96,90,44,10.58
101,Sitka,US,2022-10-05 22:06:10,57.0531,-135.33,60.69,88,100,4.61
102,Ilo,PE,2022-10-05 22:06:11,-17.6394,-71.3375,61.3,72,9,8.84
103,Kapaa,US,2022-10-05 22:06:01,22.0752,-159.319,84.18,67,0,11.5
104,Nileshwar,IN,2022-10-05 22:06:12,12.25,75.1,78.15,85,100,7.07
105,Diego De Almagro,CL,2022-10-05 22:06:12,-26.3667,-70.05,61.5,25,0,7.4
106,Mpika,ZM,2022-10-05 22:06:13,-11.8343,31.4529,62.56,39,11,4.97
107,Dhidhdhoo,MV,2022-10-05 22:06:13,6.8833,73.1,80.89,79,100,17.65
108,Nong Khai,TH,2022-10-05 22:06:13,17.9167,103.0833,74.28,97,100,4.23
109,Maniitsoq,GL,2022-10-05 22:06:14,65.4167,-52.9,33.26,62,44,7.23
110,San Nicolas,PH,2022-10-05 22:06:14,18.1725,120.5953,76.91,100,20,2.3
111,Mahebourg,MU,2022-10-05 22:03:08,-20.4081,57.7,69.26,69,56,12.95
112,Arraial Do Cabo,BR,2022-10-05 22:02:57,-22.9661,-42.0278,69.73,85,49,12.39
113,Marienburg,PL,2022-10-05 22:06:15,54.0359,19.0266,53.89,76,59,10.58
